inning,team_name,over_num,batsman_name,bowler,non_striker,extra_type,extra_run,total_run,batsman_run,dismissal_kind,dismissed_player,fielders_name,mergeid
1,Bangladesh,0,Sanjida Islam,R Oa,Ayasha Rahman,,0,0,0,,,,31203231203
1,Bangladesh,0,Sanjida Islam,R Oa,Ayasha Rahman,,0,0,0,,,,31203231203
1,Bangladesh,0,Sanjida Islam,R Oa,Ayasha Rahman,,0,0,0,,,,31203231203
1,Bangladesh,0,Sanjida Islam,R Oa,Ayasha Rahman,,0,0,0,,,,31203231203
1,Bangladesh,0,Sanjida Islam,R Oa,Ayasha Rahman,,0,0,0,,,,31203231203
1,Bangladesh,0,Sanjida Islam,R Oa,Ayasha Rahman,,0,0,0,,,,31203231203
1,Bangladesh,1,Ayasha Rahman,NM Ambo,Sanjida Islam,wides,1,1,0,,,,31203231203
1,Bangladesh,1,Ayasha Rahman,NM Ambo,Sanjida Islam,,0,4,4,,,,31203231203
1,Bangladesh,1,Ayasha Rahman,NM Ambo,Sanjida Islam,,0,0,0,caught,Ayasha Rahman,B Tau,31203231203
1,Bangladesh,1,Nigar Sultana,NM Ambo,Sanjida Islam,,0,1,1,,,,31203231203
1,Bangladesh,1,Sanjida Islam,NM Ambo,Nigar Sultana,,0,0,0,,,,31203231203
1,Bangladesh,1,Sanjida Islam,NM Ambo,Nigar Sultana,,0,0,0,,,,31203231203
1,Bangladesh,1,Sanjida Islam,NM Ambo,Nigar Sultana,,0,1,1,,,,31203231203
1,Bangladesh,2,Sanjida Islam,V Araa,Nigar Sultana,,0,4,4,,,,31203231203
1,Bangladesh,2,Sanjida Islam,V Araa,Nigar Sultana,,0,0,0,,,,31203231203
1,Bangladesh,2,Sanjida Islam,V Araa,Nigar Sultana,,0,1,1,,,,31203231203
1,Bangladesh,2,Nigar Sultana,V Araa,Sanjida Islam,,0,2,2,,,,31203231203
1,Bangladesh,2,Nigar Sultana,V Araa,Sanjida Islam,,0,1,1,,,,31203231203
1,Bangladesh,2,Sanjida Islam,V Araa,Nigar Sultana,,0,1,1,,,,31203231203
1,Bangladesh,3,Sanjida Islam,NM Ambo,Nigar Sultana,,0,0,0,,,,31203231203
1,Bangladesh,3,Sanjida Islam,NM Ambo,Nigar Sultana,,0,0,0,,,,31203231203
1,Bangladesh,3,Sanjida Islam,NM Ambo,Nigar Sultana,,0,0,0,,,,31203231203
1,Bangladesh,3,Sanjida Islam,NM Ambo,Nigar Sultana,,0,2,2,,,,31203231203
1,Bangladesh,3,Sanjida Islam,NM Ambo,Nigar Sultana,,0,0,0,,,,31203231203
1,Bangladesh,3,Sanjida Islam,NM Ambo,Nigar Sultana,,0,1,1,,,,31203231203
1,Bangladesh,4,Sanjida Islam,R Oa,Nigar Sultana,,0,0,0,,,,31203231203
1,Bangladesh,4,Sanjida Islam,R Oa,Nigar Sultana,,0,1,1,,,,31203231203
1,Bangladesh,4,Nigar Sultana,R Oa,Sanjida Islam,,0,0,0,,,,31203231203
1,Bangladesh,4,Nigar Sultana,R Oa,Sanjida Islam,,0,2,2,,,,31203231203
1,Bangladesh,4,Nigar Sultana,R Oa,Sanjida Islam,,0,0,0,caught,Nigar Sultana,B Tau,31203231203
1,Bangladesh,4,Ritu Moni,R Oa,Sanjida Islam,,0,0,0,,,,31203231203
1,Bangladesh,5,Sanjida Islam,M Tom,Ritu Moni,,0,1,1,,,,31203231203
1,Bangladesh,5,Ritu Moni,M Tom,Sanjida Islam,,0,1,1,,,,31203231203
1,Bangladesh,5,Sanjida Islam,M Tom,Ritu Moni,,0,1,1,,,,31203231203
1,Bangladesh,5,Ritu Moni,M Tom,Sanjida Islam,,0,0,0,,,,31203231203
1,Bangladesh,5,Ritu Moni,M Tom,Sanjida Islam,,0,1,1,,,,31203231203
1,Bangladesh,5,Sanjida Islam,M Tom,Ritu Moni,,0,0,0,,,,31203231203
1,Bangladesh,6,Ritu Moni,S Jimmy,Sanjida Islam,,0,0,0,,,,31203231203
1,Bangladesh,6,Ritu Moni,S Jimmy,Sanjida Islam,,0,1,1,run out,Ritu Moni,,31203231203
1,Bangladesh,6,Fargana Hoque,S Jimmy,Sanjida Islam,,0,0,0,,,,31203231203
1,Bangladesh,6,Fargana Hoque,S Jimmy,Sanjida Islam,,0,1,1,,,,31203231203
1,Bangladesh,6,Sanjida Islam,S Jimmy,Fargana Hoque,,0,0,0,,,,31203231203
1,Bangladesh,6,Sanjida Islam,S Jimmy,Fargana Hoque,,0,1,1,,,,31203231203
1,Bangladesh,7,Sanjida Islam,M Tom,Fargana Hoque,legbyes,1,1,0,,,,31203231203
1,Bangladesh,7,Fargana Hoque,M Tom,Sanjida Islam,,0,1,1,,,,31203231203
1,Bangladesh,7,Sanjida Islam,M Tom,Fargana Hoque,,0,0,0,,,,31203231203
1,Bangladesh,7,Sanjida Islam,M Tom,Fargana Hoque,,0,0,0,,,,31203231203
1,Bangladesh,7,Sanjida Islam,M Tom,Fargana Hoque,,0,4,4,,,,31203231203
1,Bangladesh,7,Sanjida Islam,M Tom,Fargana Hoque,,0,1,1,,,,31203231203
1,Bangladesh,8,Sanjida Islam,S Jimmy,Fargana Hoque,,0,0,0,lbw,Sanjida Islam,,31203231203
1,Bangladesh,8,Shaila Sharmin,S Jimmy,Fargana Hoque,,0,0,0,,,,31203231203
1,Bangladesh,8,Shaila Sharmin,S Jimmy,Fargana Hoque,,0,0,0,,,,31203231203
1,Bangladesh,8,Shaila Sharmin,S Jimmy,Fargana Hoque,,0,0,0,,,,31203231203
1,Bangladesh,8,Shaila Sharmin,S Jimmy,Fargana Hoque,,0,0,0,,,,31203231203
1,Bangladesh,8,Shaila Sharmin,S Jimmy,Fargana Hoque,,0,1,1,,,,31203231203
1,Bangladesh,9,Shaila Sharmin,NM Ambo,Fargana Hoque,,0,1,1,,,,31203231203
1,Bangladesh,9,Fargana Hoque,NM Ambo,Shaila Sharmin,,0,4,4,,,,31203231203
1,Bangladesh,9,Fargana Hoque,NM Ambo,Shaila Sharmin,,0,0,0,,,,31203231203
1,Bangladesh,9,Fargana Hoque,NM Ambo,Shaila Sharmin,,0,1,1,,,,31203231203
1,Bangladesh,9,Shaila Sharmin,NM Ambo,Fargana Hoque,,0,0,0,,,,31203231203
1,Bangladesh,9,Shaila Sharmin,NM Ambo,Fargana Hoque,,0,1,1,,,,31203231203
1,Bangladesh,10,Shaila Sharmin,K Oala,Fargana Hoque,,0,2,2,,,,31203231203
1,Bangladesh,10,Shaila Sharmin,K Oala,Fargana Hoque,,0,0,0,,,,31203231203
1,Bangladesh,10,Shaila Sharmin,K Oala,Fargana Hoque,,0,0,0,run out,Shaila Sharmin,,31203231203
1,Bangladesh,10,Fargana Hoque,K Oala,Fahima Khatun,,0,0,0,,,,31203231203
1,Bangladesh,10,Fargana Hoque,K Oala,Fahima Khatun,,0,1,1,,,,31203231203
1,Bangladesh,10,Fahima Khatun,K Oala,Fargana Hoque,,0,1,1,,,,31203231203
1,Bangladesh,11,Fahima Khatun,V Araa,Fargana Hoque,,0,4,4,,,,31203231203
1,Bangladesh,11,Fahima Khatun,V Araa,Fargana Hoque,,0,1,1,,,,31203231203
1,Bangladesh,11,Fargana Hoque,V Araa,Fahima Khatun,,0,1,1,,,,31203231203
1,Bangladesh,11,Fahima Khatun,V Araa,Fargana Hoque,,0,1,1,,,,31203231203
1,Bangladesh,11,Fargana Hoque,V Araa,Fahima Khatun,,0,2,2,,,,31203231203
1,Bangladesh,11,Fargana Hoque,V Araa,Fahima Khatun,,0,0,0,,,,31203231203
1,Bangladesh,12,Fahima Khatun,R Oa,Fargana Hoque,,0,0,0,,,,31203231203
1,Bangladesh,12,Fahima Khatun,R Oa,Fargana Hoque,,0,4,4,,,,31203231203
1,Bangladesh,12,Fahima Khatun,R Oa,Fargana Hoque,,0,0,0,,,,31203231203
1,Bangladesh,12,Fahima Khatun,R Oa,Fargana Hoque,,0,1,1,,,,31203231203
1,Bangladesh,12,Fargana Hoque,R Oa,Fahima Khatun,,0,0,0,caught,Fargana Hoque,N Vare,31203231203
1,Bangladesh,12,Fahima Khatun,R Oa,Jahanara Alam,,0,1,1,,,,31203231203
1,Bangladesh,13,Fahima Khatun,M Tom,Jahanara Alam,wides,1,1,0,,,,31203231203
1,Bangladesh,13,Fahima Khatun,M Tom,Jahanara Alam,,0,4,4,,,,31203231203
1,Bangladesh,13,Fahima Khatun,M Tom,Jahanara Alam,,0,1,1,,,,31203231203
1,Bangladesh,13,Jahanara Alam,M Tom,Fahima Khatun,noballs,1,3,2,,,,31203231203
1,Bangladesh,13,Jahanara Alam,M Tom,Fahima Khatun,,0,1,1,,,,31203231203
1,Bangladesh,13,Fahima Khatun,M Tom,Jahanara Alam,,0,1,1,,,,31203231203
1,Bangladesh,13,Jahanara Alam,M Tom,Fahima Khatun,legbyes,1,1,0,,,,31203231203
1,Bangladesh,13,Fahima Khatun,M Tom,Jahanara Alam,,0,2,2,,,,31203231203
1,Bangladesh,14,Jahanara Alam,S Jimmy,Fahima Khatun,,0,2,2,,,,31203231203
1,Bangladesh,14,Jahanara Alam,S Jimmy,Fahima Khatun,,0,0,0,bowled,Jahanara Alam,,31203231203
1,Bangladesh,14,Salma Khatun,S Jimmy,Fahima Khatun,,0,0,0,lbw,Salma Khatun,,31203231203
1,Bangladesh,14,Nahida Akter,S Jimmy,Fahima Khatun,,0,0,0,,,,31203231203
1,Bangladesh,14,Nahida Akter,S Jimmy,Fahima Khatun,,0,0,0,,,,31203231203
1,Bangladesh,14,Nahida Akter,S Jimmy,Fahima Khatun,wides,2,2,0,,,,31203231203
1,Bangladesh,14,Fahima Khatun,S Jimmy,Nahida Akter,,0,2,2,,,,31203231203
1,Bangladesh,15,Nahida Akter,K Oala,Fahima Khatun,,0,2,2,,,,31203231203
1,Bangladesh,15,Nahida Akter,K Oala,Fahima Khatun,,0,4,4,,,,31203231203
1,Bangladesh,15,Nahida Akter,K Oala,Fahima Khatun,,0,0,0,,,,31203231203
1,Bangladesh,15,Nahida Akter,K Oala,Fahima Khatun,wides,1,1,0,,,,31203231203
1,Bangladesh,15,Nahida Akter,K Oala,Fahima Khatun,,0,1,1,,,,31203231203
1,Bangladesh,15,Fahima Khatun,K Oala,Nahida Akter,wides,3,3,0,,,,31203231203
1,Bangladesh,15,Fahima Khatun,K Oala,Nahida Akter,,0,1,1,,,,31203231203
1,Bangladesh,15,Nahida Akter,K Oala,Fahima Khatun,,0,0,0,,,,31203231203
1,Bangladesh,16,Fahima Khatun,R Oa,Nahida Akter,,0,0,0,,,,31203231203
1,Bangladesh,16,Fahima Khatun,R Oa,Nahida Akter,,0,4,4,,,,31203231203
1,Bangladesh,16,Fahima Khatun,R Oa,Nahida Akter,,0,4,4,,,,31203231203
