inning,team_name,over_num,batsman_name,bowler,non_striker,extra_type,extra_run,total_run,batsman_run,dismissal_kind,dismissed_player,fielders_name,mergeid
2,England,0,DN Wyatt,JM Watkin,TT Beaumont,,0,0,0,,,,379123791
2,England,0,DN Wyatt,JM Watkin,TT Beaumont,,0,0,0,,,,379123791
2,England,0,DN Wyatt,JM Watkin,TT Beaumont,,0,0,0,,,,379123791
2,England,0,DN Wyatt,JM Watkin,TT Beaumont,,0,0,0,,,,379123791
2,England,0,DN Wyatt,JM Watkin,TT Beaumont,,0,4,4,,,,379123791
2,England,0,DN Wyatt,JM Watkin,TT Beaumont,,0,0,0,,,,379123791
2,England,1,TT Beaumont,AM Peterson,DN Wyatt,,0,2,2,,,,379123791
2,England,1,TT Beaumont,AM Peterson,DN Wyatt,,0,1,1,,,,379123791
2,England,1,DN Wyatt,AM Peterson,TT Beaumont,,0,1,1,,,,379123791
2,England,1,TT Beaumont,AM Peterson,DN Wyatt,,0,0,0,,,,379123791
2,England,1,TT Beaumont,AM Peterson,DN Wyatt,,0,4,4,,,,379123791
2,England,1,TT Beaumont,AM Peterson,DN Wyatt,,0,0,0,,,,379123791
2,England,2,DN Wyatt,HNK Jensen,TT Beaumont,,0,0,0,,,,379123791
2,England,2,DN Wyatt,HNK Jensen,TT Beaumont,,0,0,0,,,,379123791
2,England,2,DN Wyatt,HNK Jensen,TT Beaumont,,0,0,0,,,,379123791
2,England,2,DN Wyatt,HNK Jensen,TT Beaumont,,0,2,2,,,,379123791
2,England,2,DN Wyatt,HNK Jensen,TT Beaumont,,0,1,1,,,,379123791
2,England,2,TT Beaumont,HNK Jensen,DN Wyatt,,0,4,4,,,,379123791
2,England,3,DN Wyatt,JM Watkin,TT Beaumont,,0,0,0,,,,379123791
2,England,3,DN Wyatt,JM Watkin,TT Beaumont,,0,4,4,,,,379123791
2,England,3,DN Wyatt,JM Watkin,TT Beaumont,,0,1,1,,,,379123791
2,England,3,TT Beaumont,JM Watkin,DN Wyatt,,0,4,4,,,,379123791
2,England,3,TT Beaumont,JM Watkin,DN Wyatt,,0,4,4,,,,379123791
2,England,3,TT Beaumont,JM Watkin,DN Wyatt,,0,1,1,,,,379123791
2,England,4,TT Beaumont,SFM Devine,DN Wyatt,,0,0,0,,,,379123791
2,England,4,TT Beaumont,SFM Devine,DN Wyatt,,0,1,1,,,,379123791
2,England,4,DN Wyatt,SFM Devine,TT Beaumont,,0,1,1,,,,379123791
2,England,4,TT Beaumont,SFM Devine,DN Wyatt,,0,0,0,,,,379123791
2,England,4,TT Beaumont,SFM Devine,DN Wyatt,,0,0,0,,,,379123791
2,England,4,TT Beaumont,SFM Devine,DN Wyatt,,0,1,1,,,,379123791
2,England,5,TT Beaumont,HNK Jensen,DN Wyatt,,0,1,1,,,,379123791
2,England,5,DN Wyatt,HNK Jensen,TT Beaumont,,0,0,0,,,,379123791
2,England,5,DN Wyatt,HNK Jensen,TT Beaumont,,0,4,4,,,,379123791
2,England,5,DN Wyatt,HNK Jensen,TT Beaumont,,0,0,0,,,,379123791
2,England,5,DN Wyatt,HNK Jensen,TT Beaumont,,0,4,4,,,,379123791
2,England,5,DN Wyatt,HNK Jensen,TT Beaumont,,0,4,4,,,,379123791
2,England,6,TT Beaumont,SFM Devine,DN Wyatt,,0,1,1,,,,379123791
2,England,6,DN Wyatt,SFM Devine,TT Beaumont,,0,4,4,,,,379123791
2,England,6,DN Wyatt,SFM Devine,TT Beaumont,,0,4,4,,,,379123791
2,England,6,DN Wyatt,SFM Devine,TT Beaumont,,0,2,2,,,,379123791
2,England,6,DN Wyatt,SFM Devine,TT Beaumont,,0,1,1,,,,379123791
2,England,6,TT Beaumont,SFM Devine,DN Wyatt,,0,0,0,,,,379123791
2,England,7,DN Wyatt,LM Kasperek,TT Beaumont,,0,1,1,,,,379123791
2,England,7,TT Beaumont,LM Kasperek,DN Wyatt,,0,4,4,,,,379123791
2,England,7,TT Beaumont,LM Kasperek,DN Wyatt,,0,1,1,,,,379123791
2,England,7,DN Wyatt,LM Kasperek,TT Beaumont,,0,0,0,,,,379123791
2,England,7,DN Wyatt,LM Kasperek,TT Beaumont,,0,6,6,,,,379123791
2,England,7,DN Wyatt,LM Kasperek,TT Beaumont,,0,0,0,,,,379123791
2,England,8,TT Beaumont,AC Kerr,DN Wyatt,,0,1,1,,,,379123791
2,England,8,DN Wyatt,AC Kerr,TT Beaumont,,0,1,1,,,,379123791
2,England,8,TT Beaumont,AC Kerr,DN Wyatt,,0,0,0,,,,379123791
2,England,8,TT Beaumont,AC Kerr,DN Wyatt,,0,1,1,,,,379123791
2,England,8,DN Wyatt,AC Kerr,TT Beaumont,,0,0,0,,,,379123791
2,England,8,DN Wyatt,AC Kerr,TT Beaumont,,0,1,1,,,,379123791
2,England,9,DN Wyatt,SW Bates,TT Beaumont,,0,0,0,,,,379123791
2,England,9,DN Wyatt,SW Bates,TT Beaumont,,0,4,4,,,,379123791
2,England,9,DN Wyatt,SW Bates,TT Beaumont,,0,0,0,caught,DN Wyatt,LM Kasperek,379123791
2,England,9,SJ Taylor,SW Bates,TT Beaumont,,0,1,1,,,,379123791
2,England,9,TT Beaumont,SW Bates,SJ Taylor,,0,0,0,,,,379123791
2,England,9,TT Beaumont,SW Bates,SJ Taylor,,0,2,2,,,,379123791
2,England,10,SJ Taylor,AC Kerr,TT Beaumont,,0,0,0,,,,379123791
2,England,10,SJ Taylor,AC Kerr,TT Beaumont,,0,0,0,,,,379123791
2,England,10,SJ Taylor,AC Kerr,TT Beaumont,,0,0,0,,,,379123791
2,England,10,SJ Taylor,AC Kerr,TT Beaumont,wides,5,5,0,,,,379123791
2,England,10,SJ Taylor,AC Kerr,TT Beaumont,,0,1,1,,,,379123791
2,England,10,TT Beaumont,AC Kerr,SJ Taylor,,0,0,0,,,,379123791
2,England,10,TT Beaumont,AC Kerr,SJ Taylor,,0,0,0,,,,379123791
2,England,11,SJ Taylor,SW Bates,TT Beaumont,,0,4,4,,,,379123791
2,England,11,SJ Taylor,SW Bates,TT Beaumont,,0,4,4,,,,379123791
2,England,11,SJ Taylor,SW Bates,TT Beaumont,,0,1,1,,,,379123791
2,England,11,TT Beaumont,SW Bates,SJ Taylor,,0,0,0,,,,379123791
2,England,11,TT Beaumont,SW Bates,SJ Taylor,,0,0,0,,,,379123791
2,England,11,TT Beaumont,SW Bates,SJ Taylor,,0,1,1,,,,379123791
2,England,12,TT Beaumont,AC Kerr,SJ Taylor,,0,0,0,,,,379123791
2,England,12,TT Beaumont,AC Kerr,SJ Taylor,,0,0,0,,,,379123791
2,England,12,TT Beaumont,AC Kerr,SJ Taylor,,0,1,1,,,,379123791
2,England,12,SJ Taylor,AC Kerr,TT Beaumont,,0,1,1,,,,379123791
2,England,12,TT Beaumont,AC Kerr,SJ Taylor,,0,0,0,caught,TT Beaumont,AE Satterthwaite,379123791
2,England,12,SJ Taylor,AC Kerr,NR Sciver,,0,0,0,bowled,SJ Taylor,,379123791
2,England,13,NR Sciver,LMM Tahuhu,HC Knight,wides,1,1,0,,,,379123791
2,England,13,NR Sciver,LMM Tahuhu,HC Knight,,0,0,0,,,,379123791
2,England,13,NR Sciver,LMM Tahuhu,HC Knight,,0,1,1,,,,379123791
2,England,13,HC Knight,LMM Tahuhu,NR Sciver,,0,4,4,,,,379123791
2,England,13,HC Knight,LMM Tahuhu,NR Sciver,,0,4,4,,,,379123791
2,England,13,HC Knight,LMM Tahuhu,NR Sciver,,0,1,1,,,,379123791
2,England,13,NR Sciver,LMM Tahuhu,HC Knight,,0,4,4,,,,379123791
2,England,14,HC Knight,AC Kerr,NR Sciver,,0,1,1,,,,379123791
2,England,14,NR Sciver,AC Kerr,HC Knight,,0,4,4,,,,379123791
2,England,14,NR Sciver,AC Kerr,HC Knight,,0,1,1,,,,379123791
2,England,14,HC Knight,AC Kerr,NR Sciver,,0,2,2,,,,379123791
2,England,14,HC Knight,AC Kerr,NR Sciver,,0,1,1,,,,379123791
2,England,14,NR Sciver,AC Kerr,HC Knight,,0,1,1,,,,379123791
2,England,15,NR Sciver,HNK Jensen,HC Knight,,0,1,1,,,,379123791
2,England,15,HC Knight,HNK Jensen,NR Sciver,,0,1,1,,,,379123791
2,England,15,NR Sciver,HNK Jensen,HC Knight,,0,1,1,,,,379123791
2,England,15,HC Knight,HNK Jensen,NR Sciver,,0,0,0,,,,379123791
2,England,15,HC Knight,HNK Jensen,NR Sciver,,0,1,1,,,,379123791
2,England,15,NR Sciver,HNK Jensen,HC Knight,,0,1,1,,,,379123791
2,England,16,NR Sciver,LM Kasperek,HC Knight,,0,0,0,,,,379123791
2,England,16,NR Sciver,LM Kasperek,HC Knight,,0,1,1,,,,379123791
2,England,16,HC Knight,LM Kasperek,NR Sciver,,0,1,1,,,,379123791
2,England,16,NR Sciver,LM Kasperek,HC Knight,,0,1,1,,,,379123791
2,England,16,HC Knight,LM Kasperek,NR Sciver,,0,1,1,,,,379123791
2,England,16,NR Sciver,LM Kasperek,HC Knight,,0,1,1,,,,379123791
2,England,17,NR Sciver,HNK Jensen,HC Knight,,0,4,4,,,,379123791
